step,x,y,new_color,ant_dx,ant_dy
254,105,105,1,-1,0
255,104,105,1,0,-1
256,104,104,0,-1,0
257,103,104,0,0,1
258,103,105,0,1,0
259,104,105,0,0,-1
260,104,104,1,1,0
261,105,104,0,0,-1
262,105,103,1,1,0
263,106,103,1,0,1
264,106,104,1,-1,0
265,105,104,1,0,-1
266,105,103,0,-1,0
267,104,103,1,0,-1
268,104,102,0,-1,0
269,103,102,0,0,1
270,103,103,1,-1,0
271,102,103,1,0,-1
272,102,102,0,-1,0
273,101,102,1,0,-1
274,101,101,0,-1,0
275,100,101,1,0,-1
276,100,100,0,-1,0
277,99,100,1,0,-1
278,99,99,0,-1,0
279,98,99,0,0,1
280,98,100,0,1,0
281,99,100,0,0,-1
282,99,99,1,1,0
283,100,99,0,0,-1
284,100,98,1,1,0
285,101,98,1,0,1
286,101,99,0,1,0
287,102,99,0,0,-1
288,102,98,1,1,0
289,103,98,0,0,-1
290,103,97,1,1,0
291,104,97,1,0,1
292,104,98,1,-1,0
293,103,98,1,0,-1
294,103,97,0,-1,0
295,102,97,0,0,1
296,102,98,0,1,0
297,103,98,0,0,-1
298,103,97,1,1,0
299,104,97,0,0,-1
300,104,96,1,1,0
301,105,96,1,0,1
302,105,97,1,-1,0
303,104,97,1,0,-1
304,104,96,0,-1,0
305,103,96,1,0,-1
306,103,95,1,1,0
307,104,95,1,0,1
308,104,96,1,-1,0
309,103,96,0,0,1
310,103,97,0,1,0
311,104,97,0,0,-1
312,104,96,0,-1,0
313,103,96,1,0,-1
314,103,95,0,-1,0
315,102,95,1,0,-1
316,102,94,1,1,0
317,103,94,1,0,1
318,103,95,1,-1,0
319,102,95,0,0,1
320,102,96,1,-1,0
321,101,96,0,0,1
322,101,97,1,-1,0
323,100,97,1,0,-1
324,100,96,0,-1,0
325,99,96,0,0,1
326,99,97,1,-1,0
327,98,97,1,0,-1
328,98,96,0,-1,0
329,97,96,1,0,-1
330,97,95,1,1,0
331,98,95,1,0,1
332,98,96,1,-1,0
333,97,96,0,0,1
334,97,97,0,1,0
335,98,97,0,0,-1
336,98,96,0,-1,0
337,97,96,1,0,-1
338,97,95,0,-1,0
339,96,95,1,0,-1
340,96,94,1,1,0
341,97,94,1,0,1
342,97,95,1,-1,0
343,96,95,0,0,1
344,96,96,1,-1,0
345,95,96,1,0,-1
346,95,95,1,1,0
347,96,95,1,0,1
348,96,96,0,1,0
349,97,96,0,0,-1
350,97,95,0,-1,0
351,96,95,0,0,1
352,96,96,1,-1,0
353,95,96,0,0,1
354,95,97,1,-1,0
355,94,97,1,0,-1
356,94,96,1,1,0
357,95,96,1,0,1
358,95,97,0,1,0
359,96,97,1,0,1
360,96,98,0,1,0
361,97,98,0,0,-1
362,97,97,1,1,0
363,98,97,1,0,1
364,98,98,0,1,0
365,99,98,1,0,1
366,99,99,0,1,0
367,100,99,1,0,1
368,100,100,1,-1,0
369,99,100,1,0,-1
370,99,99,1,1,0
371,100,99,0,0,-1
372,100,98,0,-1,0
373,99,98,0,0,1
374,99,99,0,1,0
375,100,99,1,0,1
376,100,100,0,1,0
377,101,100,1,0,1
378,101,101,1,-1,0
379,100,101,0,0,1
380,100,102,0,1,0
381,101,102,0,0,-1
382,101,101,0,-1,0
383,100,101,1,0,-1
384,100,100,1,1,0
385,101,100,0,0,-1
386,101,99,1,1,0
